"interaction_id","node_from","node_to","date","direction","type","method","attr_id","value","geom","public","network_id","created_at","updated_at","attribute.id","attribute.name","attribute.description","attribute.unit","attribute.created_at","attribute.updated_at"
101073,25492,25483,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.029Z","2021-11-02T19:59:49.341Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101098,25496,25488,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:25.623Z","2021-11-02T19:59:49.905Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101074,25487,25483,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.067Z","2021-11-02T19:59:49.364Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101075,25487,25484,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.100Z","2021-11-02T19:59:49.386Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101076,25487,25485,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.135Z","2021-11-02T19:59:49.409Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101077,25487,25486,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.168Z","2021-11-02T19:59:49.434Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101078,25495,25483,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.212Z","2021-11-02T19:59:49.456Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101079,25495,25484,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.281Z","2021-11-02T19:59:49.479Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101080,25495,25485,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.557Z","2021-11-02T19:59:49.502Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101081,25495,25486,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.728Z","2021-11-02T19:59:49.526Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101082,25493,25483,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.893Z","2021-11-02T19:59:49.550Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
101083,25494,25483,"1939-01-01T00:00:00.000Z","directed","herbivory","field observation and gut content",1,1,NA,TRUE,1520,"2019-03-11T16:11:23.967Z","2021-11-02T19:59:49.574Z",1,"presence/absence","Presence or absence of an interaction; this is a unitless measurement that should be used as the default attribute when no further information is known. Paired wtih a value of 0, it can represent a true absence",NA,"2019-02-21T21:17:01.496Z","2021-11-02T20:32:33.821Z"
