"","YEAR","BIOMASS"
"1854",1994-01-01,0.950071343739088
"1855",1995-01-01,0.951965381989654
"1856",1996-01-01,8.36325654650364
"1857",1997-01-01,3.62819654642429
"1858",1998-01-01,7.8348529000896
"1859",1999-01-01,5.44483360968922
"1860",2000-01-01,2.20590493593909
"1861",2006-01-01,8.30722980223428
"1862",2009-01-01,4.78574531768355
"1863",2010-01-01,0.824570916635232
"1864",2010-01-01,5.18218488513524
"1865",2011-01-01,1.69795051861114
"1866",2012-01-01,4.96890642363331
"1867",2013-01-01,3.61849673783698
"1868",2014-01-01,2.27880195153931
"1869",2016-01-01,2.24966752752799
"1870",2019-01-01,4.8366748956438
"1871",2020-01-01,5.14529053063494
